도로개수 : 104개

점 개수 : 60개
1 1 1
2 1 2
3 1 3
4 1 4
5 1 5
6 1 6
7 1 7
8 1 8
9 1 9
10 1 10
11 2 1
12 2 2
13 2 3
14 2 4
15 2 5
16 2 6
17 2 7
18 2 8
19 2 9
20 2 10
21 3 1
22 3 2
23 3 3
24 3 4
25 3 5
26 3 6
27 3 7
28 3 8
29 3 9
30 3 10
31 4 1
32 3 2 
33 4 3
34 4 4
35 4 5
36 4 6
37 4 7
38 4 8
39 4 9
40 4 10
41 5 1
42 5 2
43 5 3
44 5 4
45 5 5
46 5 6
47 5 7
48 5 8
49 5 9
50 5 10
51 6 1
52 6 2
53 6 3
54 6 4
55 6 5 
56 6 6
57 6 7
58 6 8
59 6 9
60 6 10


이어진 곳들
1 2
2 3
3 4
4 5
5 6
6 7
7 8
8 9
9 10
11 12
12 13 
13 14
14 15
15 16
16 17
17 18
18 19
19 20
21 22
22 23
23 24 
24 25
25 26
26 27
27 28
28 29
29 30
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 40
41 42
42 43
43 44
44 45
45 46
46 47
47 48
48 49
49 50
51 52
52 53
53 54 
54 55
55 56
56 57
57 58
58 59
59 60
1 11
11 21
21 31
31 41
41 51
2 12
12 22
22 32
32 42
42 52
3 13
3 23
23 33
33 43
43 53
4 14 
14 24
24 34
34 44
44 54
5 15
15 25 
25 35
35 45
45 55
6 16
16 26
26 36
36 46
46 56 
7 17
17 27 
27 37
37 47
47 57
8 18 
18 28
28 38
38 48
48 58
9 19
19 29
29 39
39 49
49 59
10 20
20 30
30 40
40 50
50 60
